ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
1,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",southern,-40,40,2,,terrestrial,islands,passeriformes,birds,omnivores,flying,flying,2.0153,no,independent,,log-log,33,1.107001747,0.033333333,0.315,km2,-2.025,0.39,,,,,8.009990242
2,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",southern,-40,40,,145,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,13,1.252560197,0.1,0.384,km2,-1.651,0.339,0.064,0.004096,6.477121255,9.123851641,8.262035582
3,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,49,49,24,,terrestrial,islands,,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,19,0.381489138,0.0625,0.918,km2,-0.42,0.223,,,,,9.05390704
4,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,49,49,24,,terrestrial,islands,,insects,omnivores,flying,flying,-2.723,no,independent,,log-log,19,0.417710618,0.0625,0.993,km2,-0.309,0.217,,,,,9.05390704
5,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,49,49,24,,terrestrial,islands,passeriformes,birds,omnivores,flying,flying,2.0153,no,independent,,log-log,19,0.091252446,0.0625,0.127,km2,-0.023,0.025,,,,,9.05390704
6,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,9,9,0.01,,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,independent,,log-log,109,0.529501575,0.009433962,0.078,cm3,1.086,0.252,,,,,
7,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,9,9,0.01,,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,independent,,log-log,35,0.691586143,0.03125,-0.316,cm3,1.108,0.356,,,,,
8,Abele 1979,Book: Ecological processes in coastal and marine systems vol.10: 265-290,northern,9,9,,-80,water,marine,decapod crustaceans,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,independent,,log-log,35,0.758173745,0.03125,0.01,cm3,1.086,0.269,,,,,
9,Abele 1979,Book: Ecological processes in coastal and marine systems vol.10: 265-290,northern,9,9,,-80,water,marine,decapod crustaceans,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,independent,,log-log,119,0.522984278,0.00862069,-0.316,cm3,1.108,0.356,,,,,
10,Strong et al 19XX,In Strong et al: Ecological Communities pp. 123-137,southern,-14.5,14.5,,145.5,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,,,log-log,30,0.758173745,0.037037037,-0.64,cm3,1.04,0.42,,,,,-2
